I [../src/deptran/s_main.cc:136] 2023-07-20 15:53:05.819 | PWD : 
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.033 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.033 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.033 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.033 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.029 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.033 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.033 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.028 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.034 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130


I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.036 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.036 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.036 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.036 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.038 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.035 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.039 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.039 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.037 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.039 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.039 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.040 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.040 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.041 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.041 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.040 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.039 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.042 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.043 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.043 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.043 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.043 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.043 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.043 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.044 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.044 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.044 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.045 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.046 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.047 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.048 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.049 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.049 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.049 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.044 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.050 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.051 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.051 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.051 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.051 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.051 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.051 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.044 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.053 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.054 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.054 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.055 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.052 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.049 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.056 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.056 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.055 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.057 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.057 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.055 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.056 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.057 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.056 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.058 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.060 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.060 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.059 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.062 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.061 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.064 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.064 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.057 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.063 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.066 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.065 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.067 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130


I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.070 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.070 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.068 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.071 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.071 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.071 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.072 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.072 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.072 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.072 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.073 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.074 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.074 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.074 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.074 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.074 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.073 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.073 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.076 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.076 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.075 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.071 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.069 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.077 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.077 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.076 | 1) the client proc id is: 2204130


I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.076 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.077 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.079 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.079 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.079 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.079 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.079 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.077 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.080 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.078 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.081 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.081 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.082 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.082 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.082 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.081 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.083 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.084 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.082 | 1) the client proc id is: 2204130I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.084 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.085 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.085 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.085 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.085 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.085 | 1) the client proc id is: 2204130

I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.085 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.086 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.086 | 1) the client proc id is: 2204130
I [../src/deptran/client_worker.cc:232] 2023-07-20 15:53:09.086 | 1) the client proc id is: 2204130
